New Variable Categories,New Variable Subject,Unique,Variable Tables,Variable Subject,Collapse Category,Mother Variable Survey Origin,Mother - Variable,Mother - Label,Smartphone Pilot - Variable,Smartphone Pilot - Label,Smartphone-HH,Smartphone-Person,Smartphone-Vehicle,Smartphone-Day,Smartphone-Trip,Smartphone Pilot - Location,NYCDOT Mobility - Variable,NYCDOT Mobility - Label,NYCDOT-HH,NYCDOT-Person,NYCDOT-Vehicle,NYCDOT-Day,NYCDOT-Trip,NHTS - Variable,NHTS - Label,NHTS - HH,NHTS - PER,NHTS - VEH,NHTS - TRIP,RHTS - Variable,RHTS - Label,RHTS - HH_DELIV,RHTS - PER_DELIV,RHTS - VEH_DELIV,RHTS - PLACE_DELIV,RHTS - LINKEDTRIPS,RHTS - UNLINKEDTRIPS,RHTS - TOUR,RHTS - SUBTOUR
Trip Information,Tour/Day Information,In 2 Surveys,Day-Level,Survey-related,,Smartphone Pilot,day_survey_complete,Daily survey complete,day_survey_complete,Daily survey complete,,,,1,1,,day_is_complete,Respondent completed all survey questions for that day,,,,1,,,,,,,,,,,,,,,,,
Trip Information,Tour/Day Information,Smartphone Pilot,Day-Level,Survey-related,,Smartphone Pilot,day_complete,Person day is complete,day_complete,Person day is complete,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Trip Information,Tour/Day Information,Smartphone Pilot,Day-Level,Survey-related,,Smartphone Pilot,hh_day_complete,Household day is complete,hh_day_complete,Household day is complete,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Trip Information,Tour/Day Information,Smartphone Pilot,Day-Level,Vehicle-related,,Smartphone Pilot,ev_charge_start_time,Time plugged in electric vehicle to start charging,ev_charge_start_time,Time plugged in electric vehicle to start charging,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Trip Information,Tour/Day Information,Smartphone Pilot,Day-Level,Vehicle-related,,Smartphone Pilot,ev_charge_duration,Electric vehicle charge duration,ev_charge_duration,Electric vehicle charge duration,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Trip Information,Tour/Day Information,Smartphone Pilot,Day-Level,School-related,,Smartphone Pilot,attend_school,Traveled to school or daycare on travel day,attend_school,Traveled to school or daycare on travel day,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Trip Information,Purpose,Smartphone Pilot,Day-Level,Trip replacement behavior,,Smartphone Pilot,attend_school_no,Reason for not attending school or day care on travel day,"attend_school_no_sick |
attend_school_no_online_home |
attend_school_no_online_other |
attend_school_no_school_vacation |
attend_school_no_weather |
attend_school_no_other","Reason for not attending school or day care on travel day: Was sick or quarantining |
Reason for not attending school or day care on travel day: Attended class online from home |
Reason for not attending school or day care on travel day: Attended class online from another location (e.g., friend’s) |
Reason for not attending school or day care on travel day: School was scheduled to be closed (e.g., vacation, holiday) |
Reason for not attending school or day care on travel day: School was closed or adjusted due to weather event (e.g., snow delay) |
Reason for not attending school or day care on travel day: Other",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Trip Information,Tour/Day Information,In 2 Surveys,Day-Level,General trip characteristics,,Smartphone Pilot,made_travel,Made trips on travel day,made_travel,Made trips on travel day,,,,1,,,made_trips,Did the respondent make any trips on this day?,,1,,1,,,,,,,,,,,,,,,,,
Trip Information,Purpose,In 2 Surveys,Day-Level,Delivery-related,,Smartphone Pilot,shop_online,Purchased anything online on travel day,shop_online,Purchased anything online on travel day,,,,1,,,shop_online,Personally purchased anything online on travel day,,,,1,,,,,,,,,,,,,,,,,
Trip Information,Purpose,In 2 Surveys,Day-Level,Delivery-related,,Smartphone Pilot,delivery,Delivery on travel day,"delivery_packages_home |
delivery_packages_work |
delivery_packages_other |
delivery_takeout |
delivery_groceries |
delivery_service |
delivery_other |
delivery_none","Delivery on travel day: Received packages at home |
Delivery on travel day: Received personal packages at work |
Delivery on travel day: Received packages at another location (e.g., Amazon locker, package pick-up point) |
Delivery on travel day: Prepared food delivered to home (e.g., take-out) |
Delivery on travel day: Groceries delivered to home |
Delivery on travel day: Someone came to do work at home (e.g., babysitter, housecleaning, lawn) |
Delivery on travel day: Other item delivered to home (e.g., appliance) |
Delivery on travel day: None",,,,1,,,"deliver_package_home |
deliver_package_work |
deliver_package_locker |
deliver_prepared |
deliver_food |
deliver_service |
deliver_other |
deliver_none","Travel day delivery: Received packages at home (e.g., FedEx, UPS, USPS) |
Travel day delivery: Received personal packages at work (e.g., FedEx, UPS, USPS) |
Travel day delivery: Received packages at another location (e.g., Amazon locker, Package pick-up point) |
Travel day delivery: Prepared food was delivered to home (e.g., take-out) |
Travel day delivery: Food was delivered to home (e.g., groceries) |
Travel day delivery: Someone came to home to do work (e.g., landscaping, plumber, housecleaning) |
Travel day delivery: Other item delivered to home |
Travel day delivery: None",,,,1,,,,,,,,,,,,,,,,,
Trip Information,Tour/Day Information,Smartphone Pilot,Person-Level,Survey-related,,Smartphone Pilot,person_complete,Person completion status,person_complete,Person completion status,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trip Information,Tour/Day Information,In 2 Surveys,Person-Level,Survey-related,,Smartphone Pilot,num_days_complete,Number of complete days,num_days_complete,Number of complete days,1,1,,,,,"num_days_complete |
num_complete_weekend_days |
num_complete_weekdays |","Number of complete days |
Number of complete weekend days |
Number of complete weekdays |",1,1,,,,,,,,,,,,,,,,,,,
Trip Information,Tour/Day Information,In 2 Surveys,Household-Level,Survey-related,,Smartphone Pilot,hh_complete,Household is complete,hh_complete,Household is complete,,1,,,,,is_complete,Completion status,1,,,,,,,,,,,,,,,,,,,,
Trip Information,Tour/Day Information,In 2 Surveys,Day-Level,Survey-related,,Smartphone Pilot,num_days,Number of travel days,num_days,Number of travel days,,1,,,,,num_days,Number of days of data collection,,1,,,,,,,,,,,,,,,,,,,
Trip Information,Tour/Day Information,In 3 Surveys,Day-Level,Survey-related,,Smartphone Pilot,num_trips,Number of trips,num_trips,Number of trips,1,1,,1,,,"num_trips, CNTTDHH, CNTTDTR","Number of trips taken, Count of household trips on travel day, Count of person trips on travel day",2,2,,1,,,,,,,,"HTRIPS, PTRIPS","Total Number of Trips (Computed), Number of Trips",1,1,,,,,,
Demographics,Mode Preference,Smartphone Pilot,Person-Level,Person characteristics,,Smartphone Pilot,second_home,"Regularly spends the night at a second home (e.g., another parent or grandparent’s house, partner or spouse’s home, or a vacation home)",second_home,"Regularly spends the night at a second home (e.g., another parent or grandparent’s house, partner or spouse’s home, or a vacation home)",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Locations,School,Smartphone Pilot,Person-Level,School-related,,Smartphone Pilot,class_structure,Structure of in-person classes,class_structure,Structure of in-person classes,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Locations,School,Smartphone Pilot,Person-Level,School-related,,Smartphone Pilot,remote_class_freq,"Number of days attended classes online last week from a location that was NOT home or school (e.g., friend’s home, mom’s work, library, coffee shop)",remote_class_freq,"Number of days attended classes online last week from a location that was NOT home or school (e.g., friend’s home, mom’s work, library, coffee shop)",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Locations,School,Smartphone Pilot,Person-Level,Typical travel behavior,,Smartphone Pilot,school_freq,Number of days traveled to school last week,school_freq,Number of days traveled to school last week,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographics,Employment,In 2 Surveys,Person-Level,Person characteristics,,Smartphone Pilot,occupation,Occupation,occupation,Occupation,,1,,,,,,,,,,,,,,,,,,"OCCUP, O_OCCUP","Occupation, ""Other, Occupation""",,,,,,,,
Locations,Parking,In 2 Surveys,Person-Level,Work-related,,Smartphone Pilot,work_bike_park,Bicycle park location at work,work_bike_park,Bicycle park location at work,,1,,,,,work_bike_park,Bicycle parking location at work,,1,,,,,,,,,,,,,,,,,,,
Demographics,Mode Preference,NHTS,Person-Level,Taxi/Smartphone-app ride service-related,,NHTS,CARSHARE,Count of Car Share Program Usage,,,,,,,,,,,,,,,,CARSHARE,Count of Car Share Program Usage,,1,,,,,,,,,,,,
Demographics,Mode Preference,Smartphone Pilot,Person-Level,Taxi/Smartphone-app ride service-related,,Smartphone Pilot,share_work,For-hire services done for pay or credit,"share_work_tnc |
share_work_deliver_packages |
share_work_deliver_food |
share_work_rent_vehicle |
share_work_redistribute_bikes |
share_work_redistribute_scooters |
share_work_none","For-hire services done for pay or credit: Drive passengers for Uber, Lyft, or another smartphone-app ride service |
For-hire services done for pay or credit: Deliver packages for a smartphone-app service (e.g., AmazonFlex) |
For-hire services done for pay or credit: Deliver food/groceries for a smartphone-app service (e.g., DoorDash, UberEats) |
For-hire services done for pay or credit: Rent personal vehicle for money (e.g., Turo) |
For-hire services done for pay or credit: Redistribute bicycles for a bikeshare company |
For-hire services done for pay or credit: Redistribute scooters for a scooter share company |
For-hire services done for pay or credit: None",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographics,Mode Preference,Smartphone Pilot,Person-Level,Taxi/Smartphone-app ride service-related,,Smartphone Pilot,tnc_work_hours,Average hours per week drives for smartphone-app ride services,tnc_work_hours,Average hours per week drives for smartphone-app ride services,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Survey ID/Flag,Flag,In 2 Surveys,Person-Level,Survey-related,,Smartphone Pilot,participate,Willing to participate in future transportation surveys,participate,Willing to participate in future transportation surveys,,1,,,,,,,,,,,,,,,,,,FUTUR,"If Contacted, Willingness to Participate Any Future Surveys",1,,,,,,,
Demographics,Ability (and Health),In 3 Surveys,Household-Level,Survey-related,,NYCDOT Mobility Survery,weights,Weights,,,,,,,,,"weight | 
trip_weight | 
day_weight |","Household-person weight | 
Trip weight | 
Day weight |",1,1,1,1,,"WTHHFIN | WTPERFIN |
WTTRDFIN |","Final HH weight | Final Person weight |
Final trip weight|",1,1,1,1,"HH_WHT2 |
WHT_FAC3","Level 2 Weights |
Final Weight |",2,,2,2,2,2,2,2
Survey ID/Flag,Flag,NYCDOT Mobility Survery,Day-Level,Survey-related,,NYCDOT Mobility Survery,survey_mode,The method in which the survey was taken,,,,,,,,,survey_mode,The method in which the survey was taken,1,1,1,1,1,,,,,,,,,,,,,,,,
Trip Information,Tour/Day Information,In 2 Surveys,Trip-Level,Survey-related,,NYCDOT Mobility Survery,linked_trip_num,Linked trip number,,,,,,,,,linked_trip_num,Linked trip number,,,,,1,,,,,,,LTRIPNO,Linked trip Number,,,,,1,1,,
Survey ID/Flag,Flag,NYCDOT Mobility Survery,Trip-Level,Survey-related,,NYCDOT Mobility Survery,trip_edit,Trip edited by analyst or by user,,,,,,,,,"analyst_split |
analyst_merge |
analyst_split_loop |
user_merged |
user_split |
added_trip |
num_deleted_trips |","Analyst split trip |
Analyst merged trip |
Trip split due to loop |
User merged trip |
User split trip |
Added trip |
Number of deleted trips",,,,,1,,,,,,,,,,,,,,,,
Survey ID/Flag,Flag,NYCDOT Mobility Survery,Trip-Level,Survey-related,,NYCDOT Mobility Survery,long_distance_flag,"Unusually long distance, given mode",,,,,,,,,long_distance_flag,"Unusually long distance, given mode",,,,,1,,,,,,,,,,,,,,,,
Survey ID/Flag,Flag,NYCDOT Mobility Survery,Trip-Level,Survey-related,,NYCDOT Mobility Survery,invalid_purpose_flag,Non-worker / non-student has a work/school trip purpose,,,,,,,,,invalid_purpose_flag,Non-worker / non-student has a work/school trip purpose,,,,,1,,,,,,,,,,,,,,,,
Survey ID/Flag,Flag,NYCDOT Mobility Survery,Person-Level,Survey-related,,NYCDOT Mobility Survery,is_participant,Person is survey participant,,,,,,,,,is_participant,Person is survey participant,,1,,,,,,,,,,,,,,,,,,,
Demographics,Mode Preference,In 2 Surveys,Person-Level,Typical travel behavior,,NYCDOT Mobility Survery,num_mode_trips,Number of trips by mode,,,,,,,,,"num_walk_trips |
num_transit_trips |
num_bike_trips |
num_taxi_trips |
num_tnc_trips |","Number of walk trips |
Number of transit trips |
Number of bike trips |
Number of taxi trips |
Number of for-hire vehicle trips |",1,1,,,,"NWALKTRP |
PTUSED |
NBIKETRP |
BIKE4EX |
MCUSED |","Count of Walk Trips |
Count of Public Transit Usage |
Count of Bike Trips |
Count of Bike Trips for Exercise |
Count of Motorcycle or Moped Trips |",,1,,,,,,,,,,,,
Demographics,Employment,In 2 Surveys,Person-Level,Work-related,,NYCDOT Mobility Survery,employment,Primary type of employment,,,,,,,,,employment,Primary type of employment,,1,,,,WKFTPT,Full-Time or Part-Time Worker,,2,,,,,,,,,,,,
Demographics,Mode Preference,NYCDOT Mobility Survery,Person-Level,Person characteristics,,NYCDOT Mobility Survery,planning_apps,"Frequency of using trip planning apps, such as Google Maps, MTA Trip Planner, or Transit App to plan trips",,,,,,,,,planning_apps,"Frequency of using trip planning apps, such as Google Maps, MTA Trip Planner, or Transit App to plan trips",,1,,,,,,,,,,,,,,,,,,,
Survey ID/Flag,Flag,NYCDOT Mobility Survery,Person-Level,Parking-related,,NYCDOT Mobility Survery,school_vehicle_pass_period,School vehicle parking pass time period,,,,,,,,,school_vehicle_pass_period,School vehicle parking pass time period,,1,,,,,,,,,,,,,,,,,,,
Demographics,Mode Preference,NYCDOT Mobility Survery,Person-Level,Bike-related,,NYCDOT Mobility Survery,bike_num_days,Number of days have ridden a bike to get to and from places during the past 7 days,,,,,,,,,bike_num_days,Number of days have ridden a bike to get to and from places during the past 7 days,,1,,,,,,,,,,,,,,,,,,,
Demographics,Mode Preference,In 2 Surveys,Person-Level,Bike-related,,NYCDOT Mobility Survery,bike_purpose,Reason for riding a bicycle,,,,,,,,,"bike_purpose_errands |
bike_purpose_transit |
bike_purpose_recreation |
bike_purpose_commute |
bike_purpose_appointment |
bike_purpose_other |
no_bike_nyc_bike_lanes |
no_bike_nyc_paving |
no_bike_nyc_storage |
no_bike_nyc_long_trips |
no_bike_nyc_showers |
no_bike_nyc_modes |
no_bike_nyc_unable |
no_bike_nyc_other |","Reason for riding a bicycle: To run errands |
Reason for riding a bicycle: To connect to/from public transportation |
Reason for riding a bicycle: For recreation/exercise |
Reason for riding a bicycle: To commute to work or school |
Reason for riding a bicycle: To get to an appointment (e.g. doctor, meeting, conference) |
Reason for riding a bicycle: Other |
Reason for not riding a bicycle in New York City: I don't feel safe due to lack of bike lanes |
Reason for not riding a bicycle in New York City: I don't feel safe due to poor street paving |
Reason for not riding a bicycle in New York City: I have nowhere to store my bike |
Reason for not riding a bicycle in New York City: The trips I take are too long for a bike |
Reason for not riding a bicycle in New York City: There aren't showers or lockers to use at my destination |
Reason for not riding a bicycle in New York City: I prefer using other modes |
Reason for not riding a bicycle in New York City: I am physically unable to ride a bike |
Reason for not riding a bicycle in New York City: Other |",,1,,,,BIKE_DFR,Reason for Not Biking More: Infrastructure,,2,,,,,,,,,,,,
Demographics,Mode Preference,NYCDOT Mobility Survery,Person-Level,Bike-related,,NYCDOT Mobility Survery,no_bike_share,Reason for not using a bikeshare service,,,,,,,,,"no_bike_share_unfamiliar |
no_bike_share_expensive |
no_bike_share_neighborhood |
no_bike_share_stations |
no_bike_share_personal_bike |
no_bike_share_docks |
no_bike_share_uncomfortable |
no_bike_share_other","Reason for not using a bikeshare service: I do not know what bike share services are |
Reason for not using a bikeshare service: Too expensive |
Reason for not using a bikeshare service: Not in my neighborhood |
Reason for not using a bikeshare service: Stations are too far from where I want to go |
Reason for not using a bikeshare service: Prefer to use my personal bicycle |
Reason for not using a bikeshare service: Docks are too often full or empty |
Reason for not using a bikeshare service: Do not feel comfortable biking |
Reason for not using a bikeshare service: Other",,1,,,,,,,,,,,,,,,,,,,
Locations,Shopping,NYCDOT Mobility Survery,Person-Level,Delivery-related,,NYCDOT Mobility Survery,packages,Package delivery location when not at home to receive them,,,,,,,,,packages,Package delivery location when not at home to receive them,,1,,,,,,,,,,,,,,,,,,,
Locations,Shopping,NYCDOT Mobility Survery,Person-Level,Delivery-related,,NYCDOT Mobility Survery,packages_distance,Distance willing to travel to pick up packages,,,,,,,,,packages_distance,Distance willing to travel to pick up packages,,1,,,,,,,,,,,,,,,,,,,
Demographics,Experience,NYCDOT Mobility Survery,Person-Level,Travel experience-related,,NYCDOT Mobility Survery,harassment,"Seen and/or experienced visual, verbal, or physical harassment/violence when traveling in the past week",,,,,,,,,harassment,"Seen and/or experienced visual, verbal, or physical harassment/violence when traveling in the past week",,1,,,,,,,,,,,,,,,,,,,
Demographics,Experience,NYCDOT Mobility Survery,Person-Level,Travel experience-related,,NYCDOT Mobility Survery,harassment_influence,How harassment has influenced travel behavior,,,,,,,,,"harassment_trip |
harassment_time |
harassment_route |
harassment_transit |
harassment_mode |
harassment_neighborhood |
harassment_private_car |
harassment_alone |
harassment_attention |
harassment_defense |
harassment_other |
harassment_none","How harassment has influenced travel behavior: They have affected my decision to make a trip |
How harassment has influenced travel behavior: I have changed my travel times and/or avoid traveling at night |
How harassment has influenced travel behavior: I have changed my route and/or avoid walking on certain streets |
How harassment has influenced travel behavior: I have reduced my use of public transport |
How harassment has influenced travel behavior: I have changed my mode of transport (e.g., bus, train, taxi, public or own bicycle, walking) |
How harassment has influenced travel behavior: I travel mainly within my neighborhood, where I know people and am known |
How harassment has influenced travel behavior: I prefer to travel in a private car |
How harassment has influenced travel behavior: I avoid traveling alone |
How harassment has influenced travel behavior: I pay more attention to my surroundings and other passengers |
How harassment has influenced travel behavior: I carry a personal defense weapon (e.g., pepper spray, sharp object) |
How harassment has influenced travel behavior: Other |
How harassment has influenced travel behavior: They have had no influence",,1,,,,,,,,,,,,,,,,,,,
Demographics,Language,NYCDOT Mobility Survery,Person-Level,Person characteristics,,NYCDOT Mobility Survery,english_proficiency,English language proficiency,,,,,,,,,english_proficiency,English language proficiency,,1,,,,,,,,,,,,,,,,,,,
Demographics,Language,In 2 Surveys,Person-Level,Survey-related,,NYCDOT Mobility Survery,survey_language,Language survey was taken in ,,,,,,,,,survey_language,Language survey was taken in ,1,,,,,,,,,,,ILANG,Code Language of Interview,2,,,,,,,
Demographics,Mode Preference,NYCDOT Mobility Survery,Household-Level,Household Characteristics,,NYCDOT Mobility Survery,reduced_vehicles_reason,Reason for reducing number of household vehicles,,,,,,,,,"reduced_vehicle_cost |
reduced_vehicle_parking |
reduced_vehicle_no_need |
reduced_vehicle_ridehailing |
reduced_vehicle_carshare |
reduced_vehicle_transit |
reduced_vehicle_nyc_driving |
reduced_vehicle_other","Reason for reducing number of household vehicles: Car ownership was expensive |
Reason for reducing number of household vehicles: Parking was difficult or expensive |
Reason for reducing number of household vehicles: I no longer needed a car on a frequent basis |
Reason for reducing number of household vehicles: I started using a smartphone-app ride service such as Lyft/Uber |
Reason for reducing number of household vehicles: I started using a carshare service such as Zipcar or Car2go |
Reason for reducing number of household vehicles: I started using public transit |
Reason for reducing number of household vehicles: I didn't feel comfortable driving in New York City |
Reason for reducing number of household vehicles: Other",1,,,,,,,,,,,,,,,,,,,,
Demographics,Mode Preference,NYCDOT Mobility Survery,Household-Level,Household Characteristics,,NYCDOT Mobility Survery,increased_vehicle_reason,Reason for increasing the number of household vehicles,,,,,,,,,"increased_vehicle_new_driver |
increased_vehicle_transport_hh_member |
increased_vehicle_moved |
increased_vehicle_job |
increased_vehicle_unreliable |
increased_vehicle_flexibility |
increased_vehicle_other","Reason for increasing the number of household vehicles: New driver in household (e.g. grown child or spouse) |
Reason for increasing the number of household vehicles: I needed a car to transport a household member (i.e. spouse, relative, child, or other) |
Reason for increasing the number of household vehicles: I moved into an area where I felt I needed a car |
Reason for increasing the number of household vehicles: I got a new job that was not easily accessible by transit |
Reason for increasing the number of household vehicles: I found other transportation options were unreliable |
Reason for increasing the number of household vehicles: I wanted the flexibility and convenience of having a car |
Reason for increasing the number of household vehicles: Other",1,,,,,,,,,,,,,,,,,,,,
Demographics,Household Size,NYCDOT Mobility Survery,Household-Level,Household Characteristics,,NYCDOT Mobility Survery,num_participants,Number of participants,,,,,,,,,num_participants,Number of participants,1,,,,,,,,,,,,,,,,,,,,
Demographics,Household Size,In 2 Surveys,Household-Level,Household Characteristics,,NYCDOT Mobility Survery,num_students,Number of students in household,,,,,,,,,num_students,Number of students in household,1,,,,,,,,,,,HHSTU,Number of Household Students (Computed),1,,,,,,,
Demographics,Mode Preference,NHTS,Household-Level,Bike-related,,NHTS,MODE2SAVE,Purpose of Mode to Reduce Financial Burden of Travel,,,,,,,,,,,,,,,,"BIKE2SAVE |
WALK2SAVE |
PTRANS |","Bicycle to Reduce Financial Burden of Travel |
Walk to Reduce Financial Burden of Travel |
Public Transportation to Reduce Financial Burden of Travel |",1,,,,,,,,,,,,,
Demographics,Mode Preference,In 2 Surveys,Household-Level,Household Characteristics,,NHTS,DRVRCNT,Number of drivers in household,,,,,,,,,,,,,,,,DRVRCNT,Number of drivers in household,1,1,1,1,HHLIC,Number of Household License Holders (Computed),2,,,,,,,
Demographics,Relationships,NHTS,Household-Level,Household Characteristics,,NHTS,HHRELATD,At least two household persons are related,,,,,,,,,,,,,,,,HHRELATD,At least two household persons are related,1,,,,,,,,,,,,,
Locations,Home,NHTS,Household-Level,Household Characteristics,,NHTS,LIF_CYC,"Life Cycle classification for the household, derived by attributes pertaining to age, relationship, and work status.",,,,,,,,,,,,,,,,LIF_CYC,"Life Cycle classification for the household, derived by attributes pertaining to age, relationship, and work status.",1,1,1,1,,,,,,,,,,
Demographics,Technology,NHTS,Household-Level,Household Characteristics,,NHTS,INT,Frequency of Access the Internet by Device,,,,,,,,,,,,,,,,"PC |
SPHONE |
TAB |","Frequency of Desktop or Laptop Computer Use to Access the Internet |
Frequency of Smartphone Use to Access the Internet |
Frequency of Tablet Use to Access the Internet |",1,,,,CTELE,Cellular Telephone,,2,,,,,,
Demographics,Mode Preference,NHTS,Household-Level,Household Characteristics,,NHTS,PLACE,Travel is a Financial Burden,,,,,,,,,,,,,,,,PLACE,Travel is a Financial Burden,1,,,,,,,,,,,,,
Demographics,Household Size,In 2 Surveys,Household-Level,Household Characteristics,,NHTS,RESP_CNT,Count of responding persons per household,,,,,,,,,,,,,,,,RESP_CNT,Count of responding persons per household,1,,,,INTRV,Person Number Reporting Data,,1,,,,,,
,,NHTS,Household-Level,Identifier,,NHTS,SCRESP,"Person identifier of mail screener respondent, always 1 to roster self first",,,,,,,,,,,,,,,,SCRESP,"Person identifier of mail screener respondent, always 1 to roster self first",1,,,,,,,,,,,,,
Demographics,Technology,NHTS,Household-Level,Household Characteristics,,NHTS,WEBUSE17,Frequency of internet use,,,,,,,,,,,,,,,,WEBUSE17,Frequency of internet use,1,,,,,,,,,,,,,
Demographics,Mode Preference,NHTS,Person-Level,Person characteristics,,NHTS,ALT_Transportation,Alternative Mode of Transportation,,,,,,,,,,,,,,,,"ALT_16 |
ALT_23 |
ALT_45","Alternative Mode of Transportation: Public Transportation or Taxi |
Alternative Mode of Transportation: Passenger to Friend/Family Member or Rental Car |
Alternative Mode of Transportation: Bicycle or Walk",,1,,,,,,,,,,,,
Demographics,Technology,NYCDOT Mobility Survery,Person-Level,Person characteristics,,NYCDOT Mobility Survery,smartphone_type,Have/has a smartphone,,,,,,,,,smartphone_type,Have/has a smartphone,,1,,,,,,,,,,CTELE,Cellular Telephone,,2,,,,,,
Demographics,Mode Preference,NHTS,Vehicle-Level,Vehicle-related,,NHTS,ANNMILES,Self-reported annualized mile estimate,,,,,,,,,,,,,,,,"ANNMILES |
BESTMILE |
BEST_EDT |
BEST_FLG |
BEST_OUT |","Self-reported annualized mile estimate |
Best estimate of annual miles |
Flag any edits/adjustments to BESTMILE |
How BESTMILE was computed |
Flag identifying BESTMILE outlier values |",,,1,,,,,,,,,,,
Demographics,Citizenship,NHTS,Person-Level,Person characteristics,,NHTS,CITIZEN,"Born in United States |
Year of Arrival in United States |",,,,,,,,,,,,,,,,"BORNINUS |
YRTOUS |","Born in United States |
Year of Arrival in United States |",,1,,,,,,,,,,,,
Demographics,Mode Preference,NHTS,Person-Level,Person characteristics,,NHTS,CARRODE,Count of People in Vehicle to Work,,,,,,,,,,,,,,,,CARRODE,Count of People in Vehicle to Work,,1,,,,,,,,,,,,
Demographics,Ability (and Health),NHTS,Person-Level,Person characteristics,,NHTS,MEDCONDRES,Medical Condition that results in a change of travel behavior.,,,,,,,,,,,,,,,,"CONDNIGH |
CONDPUB |
CONDRIDE |
CONDRIVE |
CONDSPEC |
CONDTAX |
CONDTRAV |
MCUSED |
MEDCOND |
MEDCOND6 |
HEALTH |
PHYACT |
LPACT |
VPACT |
WALK4EX |","Medical Condition Results in Limiting Driving to Daytime |
Medical Condition Results in Using Bus or Subway Less Frequently |
Medical Condition Results in Asking Others for Rides |
Medical Condition Results in Giving up Driving |
Medical Condition Results in Using Special Transportation Services |
Medical Condition Results in Using a Reduced Fare Taxi |
Medical Condition Results in Reduced Day-to-Day Travel |
Medical Condition |
Medical Condition, How Long |
Opinion of Health |
Level of Physical Activity |
Count of Times of Light or Moderate Physical Activity in Past Week |
Count of Times of Vigorous Physical Activity in Past Week |
Count of Walk Trips for Exercise |",,1,,,,,,,,,,,,
Locations,Shopping,NHTS,Person-Level,Delivery-related,,NHTS,DELIVER,Count of Times Purchased Online for Delivery in Last 30 Days,,,,,,,,,,,,,,,,DELIVER,Count of Times Purchased Online for Delivery in Last 30 Days,,1,,,,,,,,,,,,
Trip Information,Tour/Day Information,In 2 Surveys,Person-Level,Survey-related,,NHTS,DIARY,Travel Diary completion status,,,,,,,,,,,,,,,,DIARY,Travel Diary completion status,,1,,,"CMPLG | 
HVLOG","Completed Diary | 
Have Completed Diary",,1,,,,,,
Survey ID/Flag,Flag,NHTS,Person-Level,Person characteristics,,NHTS,OUTCNTRY,Respondent was out of the country on travel day.,,,,,,,,,,,,,,,,"OUTCNTRY |
OUTOFTWN |","Respondent was out of the country on travel day. |
Away from home for entire travel day |",,1,,,,,,,,,,,,
Demographics,Employment,NHTS,Person-Level,Person characteristics,,NHTS,PAYPROF,Work for Pay in Previous Week,,,,,,,,,,,,,,,,PAYPROF,Work for Pay in Previous Week,,1,,,,,,,,,,,,
Demographics,Mode Preference,NHTS,Person-Level,Person characteristics,,NHTS,PRMACT,Primary Activity in Previous Week,,,,,,,,,,,,,,,,PRMACT,Primary Activity in Previous Week,,1,,1,,,,,,,,,,
Survey ID/Flag,Flag,In 2 Surveys,Trip-Level,Survey-related,,NHTS,PROXY,Trip info from respondent or proxy,,,,,,,,,,,,,,,,PROXY,Trip info from respondent or proxy,,1,,1,PROXY,Proxy Flag,,2,,,,,,
Trip Information,Travelers,NHTS,Trip-Level,Survey-related,,NHTS,PSGR_FLG,Respondent was passenger on trip,,,,,,,,,,,,,,,,PSGR_FLG,Respondent was passenger on trip,,,,1,,,,,,,,,,
Trip Information,Timestamp,NHTS,Trip-Level,General trip characteristics,,NHTS,TDWKND,Weekend trip,,,,,,,,,,,,,,,,TDWKND,Weekend trip,,,,1,,,,,,,,,,
Demographics,Mode Preference,NHTS,Person-Level,Walk-related,,NHTS,WALK_DEF,Reason for Not Walking More: Infrastructure,,,,,,,,,,,,,,,,"WALK_DEF |
WALK_GKQ |","Reason for Not Walking More: Infrastructure |
Reason for Not Walking More: Safety",,1,,,,,,,,,,,,
Demographics,Ability (and Health),NHTS,Person-Level,Person characteristics,,NHTS,MEDDVCUSED,Medical Device Used,,,,,,,,,,,,,,,,"W_CANE |
W_CHAIR |
W_CRUTCH |
W_DOG |
W_MTRCHR |
W_NONE |
W_SCOOTR |
W_WHCANE |
W_WLKR","Medical Device Used: Cane |
Medical Device Used: Wheelchair |
Medical Device Used: Crutches |
Medical Device Used: Dog Assistance |
Medical Device Used: Motorized Wheelchair |
Medical Device Used: None |
Medical Device Used: Motorized Scooter |
Medical Device Used: White Cane |
Medical Device Used: Walker",,1,,,,,,,,,,,,
