Variable Categories,Variable Subject,Mother Variable Survey Origin,Mother - Variable,Mother - Label,Smartphone Pilot - Variable,Smartphone Pilot - Label,Smartphone-HH,Smartphone-Person,Smartphone-Vehicle,Smartphone-Day,Smartphone-Trip,Smartphone Pilot - Location,NYCDOT Mobility - Variable,NYCDOT Mobility - Label,NYCDOT-HH,NYCDOT-Person,NYCDOT-Vehicle,NYCDOT-Day,NYCDOT-Trip,NHTS - Variable,NHTS - Label,NHTS - HH,NHTS - PER,NHTS - VEH,NHTS - TRIP,RHTS - Variable,RHTS - Label,RHTS - HH_DELIV,RHTS - PER_DELIV,RHTS - VEH_DELIV,RHTS - PLACE_DELIV,RHTS - LINKEDTRIPS,RHTS - UNLINKEDTRIPS,RHTS - TOUR,RHTS - SUBTOUR
Person-Level,Bike-related,NYCDOT Mobility Survery,bicycle_store_docking_station,Where bicycle is stored: Bike-share designated docking station,,,,,,,,,bicycle_store_docking_station,Where bicycle is stored: Bike-share designated docking station,1,,,,,,,,,,,,,,,,,,,,
Household-Level,Household Characteristics,NYCDOT Mobility Survery,reduced_vehicles_reason,Reason for reducing number of household vehicles,,,,,,,,,"reduced_vehicle_cost |
reduced_vehicle_parking |
reduced_vehicle_no_need |
reduced_vehicle_ridehailing |
reduced_vehicle_carshare |
reduced_vehicle_transit |
reduced_vehicle_nyc_driving |
reduced_vehicle_other","Reason for reducing number of household vehicles: Car ownership was expensive |
Reason for reducing number of household vehicles: Parking was difficult or expensive |
Reason for reducing number of household vehicles: I no longer needed a car on a frequent basis |
Reason for reducing number of household vehicles: I started using a smartphone-app ride service such as Lyft/Uber |
Reason for reducing number of household vehicles: I started using a carshare service such as Zipcar or Car2go |
Reason for reducing number of household vehicles: I started using public transit |
Reason for reducing number of household vehicles: I didn't feel comfortable driving in New York City |
Reason for reducing number of household vehicles: Other",1,,,,,,,,,,,,,,,,,,,,
Household-Level,Household Characteristics,NYCDOT Mobility Survery,increased_vehicle_reason,Reason for increasing the number of household vehicles,,,,,,,,,"increased_vehicle_new_driver |
increased_vehicle_transport_hh_member |
increased_vehicle_moved |
increased_vehicle_job |
increased_vehicle_unreliable |
increased_vehicle_flexibility |
increased_vehicle_other","Reason for increasing the number of household vehicles: New driver in household (e.g. grown child or spouse) |
Reason for increasing the number of household vehicles: I needed a car to transport a household member (i.e. spouse, relative, child, or other) |
Reason for increasing the number of household vehicles: I moved into an area where I felt I needed a car |
Reason for increasing the number of household vehicles: I got a new job that was not easily accessible by transit |
Reason for increasing the number of household vehicles: I found other transportation options were unreliable |
Reason for increasing the number of household vehicles: I wanted the flexibility and convenience of having a car |
Reason for increasing the number of household vehicles: Other",1,,,,,,,,,,,,,,,,,,,,
Household-Level,Household Characteristics,NYCDOT Mobility Survery,num_participants,Number of participants,,,,,,,,,num_participants,Number of participants,1,,,,,,,,,,,,,,,,,,,,
Household-Level,Household Characteristics,NYCDOT Mobility Survery,num_students,Number of students in household,,,,,,,,,num_students,Number of students in household,1,,,,,,,,,,,HHSTU,Number of Household Students (Computed),1,,,,,,,
Household-Level,Bike-related,NHTS,BIKE2SAVE,Bicycle to Reduce Financial Burden of Travel,,,,,,,,,,,,,,,,BIKE2SAVE,Bicycle to Reduce Financial Burden of Travel,1,,,,,,,,,,,,,
Household-Level,Typical travel behavior,NHTS,BUS,Frequency of Bus Use for Travel,,,,,,,,,,,,,,,,BUS,Frequency of Bus Use for Travel,1,,,,,,,,,,,,,
Household-Level,Typical travel behavior,NHTS,CAR,Frequency of Personal Vehicle Use for Travel,,,,,,,,,,,,,,,,CAR,Frequency of Personal Vehicle Use for Travel,1,,,,,,,,,,,,,
Household-Level,Census-related,NHTS,CDIVMSAR,"Grouping of household by combination of census division, MSA status, and presence of a subway system when population greater than 1 million",,,,,,,,,,,,,,,,CDIVMSAR,"Grouping of household by combination of census division, MSA status, and presence of a subway system when population greater than 1 million",1,1,1,1,,,,,,,,,,
Household-Level,Census-related,NHTS,CENSUS_D,2010 Census division classification for the respondent's home address,,,,,,,,,,,,,,,,CENSUS_D,2010 Census division classification for the respondent's home address,1,1,1,1,HTRACT,Home Census Tract 2010,2,,,,2,2,2,2
Household-Level,Census-related,NHTS,CENSUS_R,Census region classification for home address,,,,,,,,,,,,,,,,CENSUS_R,Census region classification for home address,1,1,1,1,,,,,,,,,,
Household-Level,Household Characteristics,NHTS,DRVRCNT,Number of drivers in household,,,,,,,,,,,,,,,,DRVRCNT,Number of drivers in household,1,1,1,1,HHLIC,Number of Household License Holders (Computed),2,,,,,,,
Household-Level,Census-related,NHTS,HBHTNRNT,Category of the percent of renter-occupied housing in the census block group of the household's home location,,,,,,,,,,,,,,,,HBHTNRNT,Category of the percent of renter-occupied housing in the census block group of the household's home location,1,1,1,,,,,,,,,,,
Household-Level,Census-related,NHTS,HBHUR,Urban / Rural indicator - Block group,,,,,,,,,,,,,,,,HBHUR,Urban / Rural indicator - Block group,1,1,1,,,,,,,,,,,
Household-Level,Census-related,NHTS,HBPPOPDN,Category of population density (persons per square mile) in the census block group of the household's home location,,,,,,,,,,,,,,,,HBPPOPDN,Category of population density (persons per square mile) in the census block group of the household's home location,1,1,1,,,,,,,,,,,
Household-Level,Census-related,NHTS,HBRESDN,Category of housing units per square mile in the census block group of the household's home location,,,,,,,,,,,,,,,,HBRESDN,Category of housing units per square mile in the census block group of the household's home location,1,1,1,,,,,,,,,,,
Household-Level,Household Characteristics,NHTS,HHRELATD,At least two household persons are related,,,,,,,,,,,,,,,,HHRELATD,At least two household persons are related,1,,,,,,,,,,,,,
Household-Level,Census-related,NHTS,HHSTATE,Household state,,,,,,,,,,,,,,,,HHSTATE,Household state,1,1,1,1,,,,,,,,,,
Household-Level,Census-related,NHTS,HHSTFIPS,State FIPS for household address,,,,,,,,,,,,,,,,HHSTFIPS,State FIPS for household address,1,1,1,1,,,,,,,,,,
Household-Level,Census-related,NHTS,HH_CBSA,Core Based Statistical Area (CBSA) FIPS code for the respondent's home address,,,,,,,,,,,,,,,,HH_CBSA,Core Based Statistical Area (CBSA) FIPS code for the respondent's home address,1,1,1,1,,,,,,,,,,
Household-Level,Census-related,NHTS,HTEEMPDN,Category of workers per square mile in the census tract of the household's home location,,,,,,,,,,,,,,,,HTEEMPDN,Category of workers per square mile in the census tract of the household's home location,1,1,1,,,,,,,,,,,
Household-Level,Census-related,NHTS,HTHTNRNT,Category of the percent of renter-occupied housing in the census tract of the household's home location,,,,,,,,,,,,,,,,HTHTNRNT,Category of the percent of renter-occupied housing in the census tract of the household's home location,1,1,1,,,,,,,,,,,
Household-Level,Census-related,NHTS,HTPPOPDN,Category of population density (persons per square mile) in the census tract of the household's home location,,,,,,,,,,,,,,,,HTPPOPDN,Category of population density (persons per square mile) in the census tract of the household's home location,1,1,1,,,,,,,,,,,
Household-Level,Census-related,NHTS,HTRESDN,Category of housing units per square mile in the census tract of the household's home location,,,,,,,,,,,,,,,,HTRESDN,Category of housing units per square mile in the census tract of the household's home location,1,1,1,,,,,,,,,,,
Household-Level,Census-related,NHTS,LIF_CYC,"Life Cycle classification for the household, derived by attributes pertaining to age, relationship, and work status.",,,,,,,,,,,,,,,,LIF_CYC,"Life Cycle classification for the household, derived by attributes pertaining to age, relationship, and work status.",1,1,1,1,,,,,,,,,,
Household-Level,Census-related,NHTS,MSACAT,"Metropolitan Statistical Area (MSA) category for the household's home address, based on household's home geocode and TIGER/Line Shapefiles.",,,,,,,,,,,,,,,,MSACAT,"Metropolitan Statistical Area (MSA) category for the household's home address, based on household's home geocode and TIGER/Line Shapefiles.",1,1,1,1,,,,,,,,,,
Household-Level,Census-related,NHTS,MSASIZE,"Population size category of the Metropolitan Statistical Area (MSA), from the 2010-2014 five-year American Community Survey (ACS) API.",,,,,,,,,,,,,,,,MSASIZE,"Population size category of the Metropolitan Statistical Area (MSA), from the 2010-2014 five-year American Community Survey (ACS) API.",1,1,1,1,,,,,,,,,,
Household-Level,Transit-related,NHTS,PARA,Frequency of Paratransit Use for Travel,,,,,,,,,,,,,,,,PARA,Frequency of Paratransit Use for Travel,1,,,,,,,,,,,,,
Household-Level,Household Characteristics,NHTS,PC,Frequency of Desktop or Laptop Computer Use to Access the Internet,,,,,,,,,,,,,,,,PC,Frequency of Desktop or Laptop Computer Use to Access the Internet,1,,,,,,,,,,,,,
Household-Level,Household Characteristics,NHTS,PLACE,Travel is a Financial Burden,,,,,,,,,,,,,,,,PLACE,Travel is a Financial Burden,1,,,,,,,,,,,,,
Household-Level,Household Characteristics,NHTS,PRICE,Price of Gasoline Affects Travel,,,,,,,,,,,,,,,,PRICE,Price of Gasoline Affects Travel,1,,,,,,,,,,,,,
Household-Level,Transit-related,NHTS,PTRANS,Public Transportation to Reduce Financial Burden of Travel,,,,,,,,,,,,,,,,PTRANS,Public Transportation to Reduce Financial Burden of Travel,1,,,,,,,,,,,,,
Household-Level,Census-related,NHTS,RAIL,MSA heavy rail status for household,,,,,,,,,,,,,,,,RAIL,MSA heavy rail status for household,1,1,1,1,,,,,,,,,,
Household-Level,Household Characteristics,NHTS,RESP_CNT,Count of responding persons per household,,,,,,,,,,,,,,,,RESP_CNT,Count of responding persons per household,1,,,,INTRV,Person Number Reporting Data,,1,,,,,,
Household-Level,Identifier,NHTS,SCRESP,"Person identifier of mail screener respondent, always 1 to roster self first",,,,,,,,,,,,,,,,SCRESP,"Person identifier of mail screener respondent, always 1 to roster self first",1,,,,,,,,,,,,,
Household-Level,Household Characteristics,NHTS,SPHONE,Frequency of Smartphone Use to Access the Internet,,,,,,,,,,,,,,,,SPHONE,Frequency of Smartphone Use to Access the Internet,1,,,,CTELE,Cellular Telephone,,2,,,,,,
Household-Level,Household Characteristics,NHTS,TAB,Frequency of Tablet Use to Access the Internet,,,,,,,,,,,,,,,,TAB,Frequency of Tablet Use to Access the Internet,1,,,,,,,,,,,,,
Household-Level,Transit-related,NHTS,TRAIN,Frequency of Train Use for Travel,,,,,,,,,,,,,,,,TRAIN,Frequency of Train Use for Travel,1,,,,,,,,,,,,,
Household-Level,Census-related,NHTS,URBAN,"Household's urban area classification, based on home address and 2014 TIGER/Line Shapefile",,,,,,,,,,,,,,,,URBAN,"Household's urban area classification, based on home address and 2014 TIGER/Line Shapefile",1,1,1,1,,,,,,,,,,
Household-Level,Census-related,NHTS,URBANSIZE,Urban area size where home address is located,,,,,,,,,,,,,,,,URBANSIZE,Urban area size where home address is located,1,1,1,1,,,,,,,,,,
Household-Level,Census-related,NHTS,URBRUR,Household in urban/rural area,,,,,,,,,,,,,,,,URBRUR,Household in urban/rural area,1,1,1,1,,,,,,,,,,
Household-Level,Walk-related,NHTS,WALK,Frequency of Walking for Travel,,,,,,,,,,,,,,,,WALK,Frequency of Walking for Travel,1,,,,,,,,,,,,,
Household-Level,Walk-related,NHTS,WALK2SAVE,Walk to Reduce Financial Burden of Travel,,,,,,,,,,,,,,,,WALK2SAVE,Walk to Reduce Financial Burden of Travel,1,,,,,,,,,,,,,
Household-Level,Household Characteristics,NHTS,WEBUSE17,Frequency of internet use,,,,,,,,,,,,,,,,WEBUSE17,Frequency of internet use,1,,,,,,,,,,,,,
Person-Level,Person characteristics,None,ALT_Transportation,Alternative Mode of Transportation,,,,,,,,,,,,,,,,"ALT_16 |
ALT_23 |
ALT_45","Alternative Mode of Transportation: Public Transportation or Taxi |
Alternative Mode of Transportation: Passenger to Friend/Family Member or Rental Car |
Alternative Mode of Transportation: Bicycle or Walk",,1,,,,,,,,,,,,
Vehicle-Level,Vehicle-related,NHTS,ANNMILES,Self-reported annualized mile estimate,,,,,,,,,,,,,,,,ANNMILES,Self-reported annualized mile estimate,,,1,,,,,,,,,,,
Vehicle-Level,Vehicle-related,NHTS,BESTMILE,Best estimate of annual miles,,,,,,,,,,,,,,,,BESTMILE,Best estimate of annual miles,,,1,,,,,,,,,,,
Vehicle-Level,Vehicle-related,NHTS,BEST_EDT,Flag any edits/adjustments to BESTMILE,,,,,,,,,,,,,,,,BEST_EDT,Flag any edits/adjustments to BESTMILE,,,1,,,,,,,,,,,
Vehicle-Level,Vehicle-related,NHTS,BEST_FLG,How BESTMILE was computed,,,,,,,,,,,,,,,,BEST_FLG,How BESTMILE was computed,,,1,,,,,,,,,,,
Vehicle-Level,Vehicle-related,NHTS,BEST_OUT,Flag identifying BESTMILE outlier values,,,,,,,,,,,,,,,,BEST_OUT,Flag identifying BESTMILE outlier values,,,1,,,,,,,,,,,
Person-Level,Person characteristics,NHTS,BORNINUS,Born in United States,,,,,,,,,,,,,,,,BORNINUS,Born in United States,,1,,,,,,,,,,,,
Person-Level,Person characteristics,NHTS,CARRODE,Count of People in Vehicle to Work,,,,,,,,,,,,,,,,CARRODE,Count of People in Vehicle to Work,,1,,,,,,,,,,,,
Person-Level,Person characteristics,None,MEDCONDRES,Medical Condition that results in a change of travel behavior.,,,,,,,,,,,,,,,,"CONDNIGH |
CONDPUB |
CONDRIDE |
CONDRIVE |
CONDSPEC |
CONDTAX |
CONDTRAV","Medical Condition Results in Limiting Driving to Daytime |
Medical Condition Results in Using Bus or Subway Less Frequently |
Medical Condition Results in Asking Others for Rides |
Medical Condition Results in Giving up Driving |
Medical Condition Results in Using Special Transportation Services |
Medical Condition Results in Using a Reduced Fare Taxi |
Medical Condition Results in Reduced Day-to-Day Travel",,1,,,,,,,,,,,,
Trip-Level,Census-related,NHTS,DBHTNRNT,Category of the percent of renter-occupied housing in the census block group of the trip destination's location,,,,,,,,,,,,,,,,DBHTNRNT,Category of the percent of renter-occupied housing in the census block group of the trip destination's location,,,,1,,,,,,,,,,
Trip-Level,Census-related,NHTS,DBHUR,Urban / Rural indicator - Trip Destination Block group,,,,,,,,,,,,,,,,DBHUR,Urban / Rural indicator - Trip Destination Block group,,,,1,,,,,,,,,,
Trip-Level,Census-related,NHTS,DBPPOPDN,Category of population density (persons per square mile) in the census block group of the trip destination's location,,,,,,,,,,,,,,,,DBPPOPDN,Category of population density (persons per square mile) in the census block group of the trip destination's location,,,,1,,,,,,,,,,
Trip-Level,Census-related,NHTS,DBRESDN,Category of housing units per square mile in the census block group of the trip destination's location,,,,,,,,,,,,,,,,DBRESDN,Category of housing units per square mile in the census block group of the trip destination's location,,,,1,,,,,,,,,,
Person-Level,Delivery-related,NHTS,DELIVER,Count of Times Purchased Online for Delivery in Last 30 Days,,,,,,,,,,,,,,,,DELIVER,Count of Times Purchased Online for Delivery in Last 30 Days,,1,,,,,,,,,,,,
Person-Level,Survey-related,NHTS,DIARY,Travel Diary completion status,,,,,,,,,,,,,,,,DIARY,Travel Diary completion status,,1,,,"CMPLG, HVLOG","Completed Diary, Have Completed Diary",,1,,,,,,
Person-Level,School-related,NHTS,DISTTOSC17,"Road network distance, in miles, between respondent's home location and school location, sourced using Google Distance Matrix API (https://maps.googleapis.com/maps/api/distancematrix/)",,,,,,,,,,,,,,,,DISTTOSC17,"Road network distance, in miles, between respondent's home location and school location, sourced using Google Distance Matrix API (https://maps.googleapis.com/maps/api/distancematrix/)",,1,,,,,,,,,,,,
Person-Level,Work-related,NHTS,DISTTOWK17,"Road network distance, in miles, between respondent's home location and work location, sourced using Google Distance Matrix API (https://maps.googleapis.com/maps/api/distancematrix/)",,,,,,,,,,,,,,,,DISTTOWK17,"Road network distance, in miles, between respondent's home location and work location, sourced using Google Distance Matrix API (https://maps.googleapis.com/maps/api/distancematrix/)",,1,,,,,,,,,,,,
Person-Level,Person characteristics,NHTS,DRIVER,"Driver status, derived",,,,,,,,,,,,,,,,DRIVER,"Driver status, derived",,1,,1,,,,,,,,,,
Trip-Level,General trip characteristics,NHTS,DROP_PRK,Parked or Dropped Off at Station,,,,,,,,,,,,,,,,DROP_PRK,Parked or Dropped Off at Station,,,,1,,,,,,,,,,
Trip-Level,General trip characteristics,NHTS,DRVR_FLG,Respondent drove on trip,,,,,,,,,,,,,,,,DRVR_FLG,Respondent drove on trip,,,,1,,,,,,,,,,
Trip-Level,General trip characteristics,NHTS,DTEEMPDN,Category of workers per square mile in the census tract of the trip destination's location,,,,,,,,,,,,,,,,DTEEMPDN,Category of workers per square mile in the census tract of the trip destination's location,,,,1,,,,,,,,,,
Trip-Level,Census-related,NHTS,DTHTNRNT,Category of the percent of renter-occupied housing in the census tract of the trip destination's location,,,,,,,,,,,,,,,,DTHTNRNT,Category of the percent of renter-occupied housing in the census tract of the trip destination's location,,,,1,,,,,,,,,,
Trip-Level,Census-related,NHTS,DTPPOPDN,Category of population density (persons per square mile) in the census tract of the trip destination's location,,,,,,,,,,,,,,,,DTPPOPDN,Category of population density (persons per square mile) in the census tract of the trip destination's location,,,,1,,,,,,,,,,
Trip-Level,Census-related,NHTS,DTRESDN,Category of housing units per square mile in the census tract of the trip destination's location,,,,,,,,,,,,,,,,DTRESDN,Category of housing units per square mile in the census tract of the trip destination's location,,,,1,,,,,,,,,,
Trip-Level,General trip characteristics,NHTS,DWELTIME,Time at destination,,,,,,,,,,,,,,,,DWELTIME,Time at destination,,,,1,"ACTDUR, ACTDUR_C","Activity Duration, Activity Duration (minutes) - PB",,,,2,2,2,,
Vehicle-Level,Vehicle-related,NHTS,FEGEMPG,Fuel Economy.gov EIA-Derived 55/45 fuel economy,,,,,,,,,,,,,,,,FEGEMPG,Fuel Economy.gov EIA-Derived 55/45 fuel economy,,,1,,,,,,,,,,,
Vehicle-Level,Vehicle-related,NHTS,FEGEMPGA,Fuel Economy.gov 55/45 alternative fuel economy,,,,,,,,,,,,,,,,FEGEMPGA,Fuel Economy.gov 55/45 alternative fuel economy,,,1,,,,,,,,,,,
Vehicle-Level,Vehicle-related,NHTS,FEGEMPGF,Flag for FEGEMPG,,,,,,,,,,,,,,,,FEGEMPGF,Flag for FEGEMPG,,,1,,,,,,,,,,,
Vehicle-Level,Vehicle-related,NHTS,FLEXTIME,Flex Time,,,,,,,,,,,,,,,,FLEXTIME,Flex Time,,1,,,,,,,,,,,,
Vehicle-Level,Vehicle-related,NHTS,GASPRICE,"Price of gasoline, in cents, on respondent's travel day",,,,,,,,,,,,,,,,GASPRICE,"Price of gasoline, in cents, on respondent's travel day",,,,1,,,,,,,,,,
Person-Level,Work-related,NHTS,GCDWORK,"Minimum geodesic (Great Circle) distance between home location and work location in meters, using WGS84 coordinate system",,,,,,,,,,,,,,,,GCDWORK,"Minimum geodesic (Great Circle) distance between home location and work location in meters, using WGS84 coordinate system",,1,,,,,,,,,,,,
Vehicle-Level,Vehicle-related,NHTS,GSCOST,Annualized fuel cost in US dollars per equivalent gallon,,,,,,,,,,,,,,,,GSCOST,Annualized fuel cost in US dollars per equivalent gallon,,,1,,,,,,,,,,,
Vehicle-Level,Vehicle-related,NHTS,GSTOTCST,Annual fuel expenditures in US dollars,,,,,,,,,,,,,,,,GSTOTCST,Annual fuel expenditures in US dollars,,,1,,,,,,,,,,,
Vehicle-Level,Vehicle-related,NHTS,GSYRGAL,Annual fuel consumption in US gallons,,,,,,,,,,,,,,,,GSYRGAL,Annual fuel consumption in US gallons,,,1,,,,,,,,,,,
Person-Level,Person characteristics,NHTS,HEALTH,Opinion of Health,,,,,,,,,,,,,,,,HEALTH,Opinion of Health,,1,,,,,,,,,,,,
Person-Level,Vehicle characteristics,NHTS,HFUEL,Type of Hybrid Vehicle,,,,,,,,,,,,,,,,HFUEL,Type of Hybrid Vehicle,,,1,,,,,,,,,,,
Trip-Level,General trip characteristics,NHTS,HHMEMDRV,Household member drove on trip,,,,,,,,,,,,,,,,HHMEMDRV,Household member drove on trip,,,,1,,,,,,,,,,
Person-Level,Vehicle characteristics,NHTS,HYBRID,Hybrid vehicle,,,,,,,,,,,,,,,,HYBRID,Hybrid vehicle,,,1,,,,,,,,,,,
Trip-Level,General trip characteristics,NHTS,LOOP_TRIP,Trip origin and destination at identical location,,,,,,,,,,,,,,,,LOOP_TRIP,Trip origin and destination at identical location,,,,1,,,,,,,,,,
Person-Level,Person characteristics,NHTS,LPACT,Count of Times of Light or Moderate Physical Activity in Past Week,,,,,,,,,,,,,,,,LPACT,Count of Times of Light or Moderate Physical Activity in Past Week,,1,,,,,,,,,,,,
Person-Level,Person characteristics,NHTS,LSTTRDAY17,Last trip before travel day,,,,,,,,,,,,,,,,LSTTRDAY17,Last trip before travel day,,1,,,,,,,,,,,,
Person-Level,Micromobility-related,NHTS,MCUSED,Count of Motorcycle or Moped Trips,,,,,,,,,,,,,,,,MCUSED,Count of Motorcycle or Moped Trips,,1,,,,,,,,,,,,
Person-Level,Person characteristics,NHTS,MEDCOND,Medical Condition,,,,,,,,,,,,,,,,MEDCOND,Medical Condition,,1,,,,,,,,,,,,
Person-Level,Person characteristics,NHTS,MEDCOND6,"Medical Condition, How Long",,,,,,,,,,,,,,,,MEDCOND6,"Medical Condition, How Long",,1,,,,,,,,,,,,
Person-Level,Work-related,NHTS,NOCONG,Trip Time in Minutes to Work without Traffic,,,,,,,,,,,,,,,,NOCONG,Trip Time in Minutes to Work without Traffic,,1,,,,,,,,,,,,
Trip-Level,General trip characteristics,NHTS,NUMTRANS,Count of Transfers,,,,,,,,,,,,,,,,NUMTRANS,Count of Transfers,,,,1,,,,,,,,,,
Trip-Level,Census-related,NHTS,OBHTNRNT,Category of the percent of renter-occupied housing in the census block group of the trip origin's location,,,,,,,,,,,,,,,,OBHTNRNT,Category of the percent of renter-occupied housing in the census block group of the trip origin's location,,,,1,,,,,,,,,,
Trip-Level,Census-related,NHTS,OBHUR,Urban / Rural indicator - Trip Origin Block group,,,,,,,,,,,,,,,,OBHUR,Urban / Rural indicator - Trip Origin Block group,,,,1,,,,,,,,,,
Trip-Level,Census-related,NHTS,OBPPOPDN,Category of population density (persons per square mile) in the census block group of the trip origin's location,,,,,,,,,,,,,,,,OBPPOPDN,Category of population density (persons per square mile) in the census block group of the trip origin's location,,,,1,,,,,,,,,,
Trip-Level,Census-related,NHTS,OBRESDN,Category of housing units per square mile in the census block group of the trip origin's location,,,,,,,,,,,,,,,,OBRESDN,Category of housing units per square mile in the census block group of the trip origin's location,,,,1,,,,,,,,,,
Vehicle-Level,Vehicle-related,NHTS,OD_READ,Odometer Reading,,,,,,,,,,,,,,,,OD_READ,Odometer Reading,,,1,,,,,,,,,,,
Trip-Level,Identifier,NHTS,ONTD_P12,Household Person Identifier on Trip: 12,,,,,,,,,,,,,,,,ONTD_P12,Household Person Identifier on Trip: 12,,,,1,,,,,,,,,,
Trip-Level,Identifier,NHTS,ONTD_P13,Household Person Identifier on Trip: 13,,,,,,,,,,,,,,,,ONTD_P13,Household Person Identifier on Trip: 13,,,,1,,,,,,,,,,
Trip-Level,Census-related,NHTS,OTEEMPDN,Category of workers per square mile in the census tract of the trip origin's location,,,,,,,,,,,,,,,,OTEEMPDN,Category of workers per square mile in the census tract of the trip origin's location,,,,1,,,,,,,,,,
Trip-Level,Census-related,NHTS,OTHTNRNT,Category of the percent of renter-occupied housing in the census tract of the trip origin's location,,,,,,,,,,,,,,,,OTHTNRNT,Category of the percent of renter-occupied housing in the census tract of the trip origin's location,,,,1,,,,,,,,,,
Trip-Level,Census-related,NHTS,OTPPOPDN,Category of population density (persons per square mile) in the census tract of the trip origin's location,,,,,,,,,,,,,,,,OTPPOPDN,Category of population density (persons per square mile) in the census tract of the trip origin's location,,,,1,,,,,,,,,,
Trip-Level,Census-related,NHTS,OTRESDN,Category of housing units per square mile in the census tract of the trip origin's location,,,,,,,,,,,,,,,,OTRESDN,Category of housing units per square mile in the census tract of the trip origin's location,,,,1,,,,,,,,,,
Person-Level,Person characteristics,NHTS,OUTCNTRY,Respondent was out of the country on travel day.,,,,,,,,,,,,,,,,OUTCNTRY,Respondent was out of the country on travel day.,,1,,,,,,,,,,,,
Person-Level,Person characteristics,NHTS,OUTOFTWN,Away from home for entire travel day,,,,,,,,,,,,,,,,OUTOFTWN,Away from home for entire travel day,,1,,,,,,,,,,,,
Person-Level,Person characteristics,NHTS,PAYPROF,Work for Pay in Previous Week,,,,,,,,,,,,,,,,PAYPROF,Work for Pay in Previous Week,,1,,,,,,,,,,,,
Person-Level,Person characteristics,NHTS,PHYACT,Level of Physical Activity,,,,,,,,,,,,,,,,PHYACT,Level of Physical Activity,,1,,,,,,,,,,,,
Person-Level,Person characteristics,NHTS,PRMACT,Primary Activity in Previous Week,,,,,,,,,,,,,,,,PRMACT,Primary Activity in Previous Week,,1,,1,,,,,,,,,,
Trip-Level,Survey-related,NHTS,PROXY,Trip info from respondent or proxy,,,,,,,,,,,,,,,,PROXY,Trip info from respondent or proxy,,1,,1,PROXY,Proxy Flag,,2,,,,,,
Trip-Level,General trip characteristics,NHTS,PSGR_FLG,Respondent was passenger on trip,,,,,,,,,,,,,,,,PSGR_FLG,Respondent was passenger on trip,,,,1,,,,,,,,,,
Person-Level,Work-related,NHTS,PUBTIME,Minutes Spent Transferring to Work,,,,,,,,,,,,,,,,PUBTIME,Minutes Spent Transferring to Work,,1,,,,,,,,,,,,
Trip-Level,General trip characteristics,NHTS,TDWKND,Weekend trip,,,,,,,,,,,,,,,,TDWKND,Weekend trip,,,,1,,,,,,,,,,
Person-Level,Work-related,NHTS,TIMETOWK,Trip Time to Work in Minutes,,,,,,,,,,,,,,,,TIMETOWK,Trip Time to Work in Minutes,,1,,,TTTWS,Typical Travel Time to Work,,1,,,,,,
Trip-Level,Work-related,NHTS,TRACCTM,Trip Time to Transit Station in Minutes,,,,,,,,,,,,,,,,TRACCTM,Trip Time to Transit Station in Minutes,,,,1,,,,,,,,,,
Trip-Level,Transit-related,None,TRACCMODE,Mode used to get to public transit?,,,,,,,,,,,,,,,,"TRACC_BUS |
TRACC_CRL |
TRACC_OTH |
TRACC_POV |
TRACC_SUB |
TRACC_WLK |
TREGR_BUS |
TREGR_CRL |
TREGR_OTH |
TREGR_POV |
TREGR_SUB |
TREGR_WLK","Bus as mode used to get to public transit? |
Rail as mode used to get to public transit? |
Other mode used to get to public transit? |
POV as mode used to get to public transit? |
Subway as mode used to get to public transit? |
Walk as mode used to get to public transit? |
Bus as mode used to get from public transit? |
Rail as mode used to get from public transit? |
Other mode used to get from public transit? |
POV as mode used to get from public transit? |
Subway as mode used to get from public transit? |
Walk as mode used to get from public transit? |",,,,1,,,,,,,,,,
Trip-Level,Transit-related,NHTS,TREGRTM,Time to Destination from Transit in Minutes,,,,,,,,,,,,,,,,TREGRTM,Time to Destination from Transit in Minutes,,,,1,,,,,,,,,,
Trip-Level,Transit-related,NHTS,TRWAITTM,Transit wait time in minutes,,,,,,,,,,,,,,,,TRWAITTM,Transit wait time in minutes,,,,1,,,,,,,,,,
Trip-Level,Transit-related,NHTS,USEPUBTR,"Public Transit Usage on Travel Date, derived",,,,,,,,,,,,,,,,USEPUBTR,"Public Transit Usage on Travel Date, derived",,1,,,,,,,,,,,,
Vehicle-Level,Vehicle-related,NHTS,VEHAGE,"Age of vehicle, based on model year",,,,,,,,,,,,,,,,VEHAGE,"Age of vehicle, based on model year",,,1,,,,,,,,,,,
Vehicle-Level,Vehicle-related,NHTS,VEHOWNED,Owned Vehicle Longer than a Year,,,,,,,,,,,,,,,,VEHOWNED,Owned Vehicle Longer than a Year,,,1,,,,,,,,,,,
Vehicle-Level,Vehicle-related,NHTS,VEHTYPE,Vehicle Type,,,,,,,,,,,,,,,,VEHTYPE,Vehicle Type,,,1,1,"BODY, O_BODY","Body of Vehicle, ""Other, Body of Vehicle""",,,2,,,,,
Vehicle-Level,Vehicle-related,NHTS,VMT_MILE,"Trip distance in miles for personally driven vehicle trips, derived from route geometry returned by Google Maps API",,,,,,,,,,,,,,,,VMT_MILE,"Trip distance in miles for personally driven vehicle trips, derived from route geometry returned by Google Maps API",,,,1,,,,,,,,,,
